instrument_id,price_date,price,lagged_return_1d,lagged_return_5d,realized_vol_10d,realized_vol_1d_fwd,vol_scalar
GILT-10Y,2024-02-22,99.2,-0.006012024048096,-0.0284035259549459,0.0009733264222558,-0.0078629032258065,-0.008110917723347797
CORP-BOND-A,2024-02-22,101.6,-0.003921568627451,-0.0183574879227054,1.5259060702455894e-05,-0.0039370078740156,-0.003747881628919353
GILT-10Y,2024-02-29,98.42,-0.0078629032258065,-0.0308222550467749,0.0014584528740361,-0.0057915057915058,-0.009308884760241307
CORP-BOND-A,2024-02-29,101.2,-0.0039370078740156,-0.0184287099903005,1.53789764257738e-05,-0.0024703557312253,-0.0037841530902206254
GILT-10Y,2024-03-04,97.85,-0.0057915057915058,-0.0311881188118812,0.0011376195441065,-0.0097087378640775,-0.009194057849120345
CORP-BOND-A,2024-03-04,100.95,-0.0024703557312253,-0.0179961089494162,0.0008423504564073,-0.003467062902427,-0.002569585834958715
GILT-10Y,2024-03-07,96.9,-0.0097087378640775,-0.0338983050847456,0.0019596981040053,-0.0154798761609906,-0.010792170113092095
CORP-BOND-A,2024-03-07,100.6,-0.003467062902427,-0.0175781250000001,0.0007489261166716,-0.0049701789264413,-0.0027071518637090996
GILT-10Y,2024-03-11,95.4,-0.0154798761609906,-0.0440881763527053,0.0048736581874534,-0.0136268343815514,-0.01464449402725835
CORP-BOND-A,2024-03-11,100.1,-0.0049701789264413,-0.0186274509803922,0.0012584314955606,-0.0034965034965034,-0.0031739623859873426
